Ponto Turistico,Latitude,Longitude,Km da Capital
Praia de Tambaba,-7.2711,-34.8279,38.2
Centro Historico de Joao Pessoa,-7.1173,-34.8731,1.7
Praia de Coqueirinho,-7.2178,-34.8008,35.4
Praia de Cabo Branco,-7.1485,-34.8002,7.4
Centro Cultural Sao Francisco,-7.1162,-34.8694,1
Ilha de Areia Vermelha,-6.9794,-34.8451,16.8
Praia do Jacare,-6.9856,-34.8386,12.8
Pico do Jabre,-7.0713,-37.5323,324
Praia de Tabatinga,-7.1301,-34.8238,32.1
Convento de Santo Antonio,-7.1150,-34.8804,89.2
Parque Arruda Camara (Bica),-7.1393,-34.8693,1
Praia Bela,-7.2621,-34.7997,45.6
Engenho Triunfo,-7.1868,-35.0718,126
Igreja de Sao Francisco,-7.1173,-34.8731,1
Praia de Camboinha,-7.1385,-34.8207,17.1
